n_cyanos,co2,light,SucRatio,Nsample,a,mu
877, 49.16438795986622, 0.9866220869565218, 0.23745819397993312,7158, 1.518306745935303, 2.804871303621953
272, 24.749916387959868, 0.5919736521739131,0,10958,5.003103601, 6.033340891304637
78, 28.428809364548492, 0.4448166086956521,0.785953177,2403, 4.092488411651951, 4.452029227966098
633, 12.04101337792642, 0.21739208695652174, 0.8060200668896321,6739, 0.22130254229863247, 1.7847738682736614
860, 32.10770234113712, 0.13043565217391304, 0.5384615384615384,1281, 0.5577930347029957, 1.7052934520075649
436, 40.803267558528425, 0.8729098260869566, 0.9732441471571907,3085, 0.6711897335531027, 1.3720446830140103
610, 61.20440133779264, 0.9698996956521739, 0.5551839464882943,8937, 1.4924717888225292, 2.582483687593565
740, 53.846615384615376, 0.4849503478260869, 0.34782608695652173,10018, 1.5628493591397083, 2.8609050196645525
696, 10.368789297658862,0.070235043, 0.1806020066889632,7325, 0.4050230183665218, 1.8122636263130514
249, 38.12770903010033, 0.6722411304347826, 0.7692307692307692,631, 1.7840448111707274, 2.8221457746175176
523, 29.766588628762538, 0.12709117391304348, 0.44816053511705684,6097, 0.8817065470913983, 1.8657534858114735
466, 20.067688963210703, 0.4214052608695652, 0.3712374581939799,11442, 0.7963697787024141, 1.8170596938218069
372, 54.84994983277591, 0.7023414347826087, 0.9130434782608696,5365, 1.3554463220401258, 2.2545117525696288
8, 90.96998996655519, 0.5250840869565218, 0.8093645484949833,17246, 62.456119765355986, 41.577739515763454
149, 24.081026755852843, 0.14046908695652172, 0.9698996655518395,17817, 1.3159193579109638, 2.252247574717428
559, 88.29443143812709, 0.5886291739130436, 0.7826086956521738,12660, 1.7360371420004623, 2.760224651432145
747, 51.171056856187285, 0.9297659565217392, 0.9030100334448161,2831, 0.5633268147980457, 1.5808646123871715
596, 73.91330434782608, 0.3478267391304347, 0.6220735785953178,15699,1.690350378, 2.805260728305644
446, 21.071023411371236, 0.6053515652173913, 0.8093645484949833,9719, 0.46457136438020624, 1.5752576166529164
810, 21.40546822742475, 0.6220739565217391, 0.26421404682274247,10074,0.624058968, 1.8847465107011379
102, 49.83327759197324,0.284281652, 0.9832775919732442,9415,4.434746822, 4.498634706009058
787, 12.04101337792642, 0.16722491304347825, 0.18394648829431437,12896,0.473925478, 1.8321327653149138
566, 95.31777257525084, 0.12040221739130434, 0.7826086956521738,13077, 1.847180978102162, 2.9627287128029685
329, 50.50216722408026, 0.33110434782608694, 0.9531772575250836,9779, 1.414075286078849,2.311874328
262, 20.402133779264215, 0.4581945217391304,0.060200669,12477,3.36432232, 4.5542688640905595
209,96.98999666,0.060201609, 0.11705685618729096,17112, 17.12609061594493, 14.966702258249581
853, 36.78992976588628, 0.9866220869565218, 0.16387959866220736,12843, 1.3299361851352336, 2.6258349822364515
760, 4.348782608695652, 0.33110434782608694,0.862876254,7492, 0.018421145111638143,5.175173641
830, 49.16438795986622, 0.8595319130434782, 0.6421404682274248,8286, 0.7077155480577233, 1.6477664637347247
910, 63.87995986622073, 0.8127092173913044, 0.43478260869565216,2216, 1.2741677906061153, 2.3966286321032113
703, 10.03434448160535, 0.3411377826086956, 0.4882943143812709,15926, 0.24040663538102053, 1.940969620289517
810, 21.40546822742475, 0.6220739565217391,0.765886288,10075, 0.2992604726343077, 1.6890289950853754
840, 5.6865618729096985, 0.043479217391304344, 0.8963210702341138,11920,0.04193088, 1.7748853016972366
924, 48.829943143812706, 0.4080273478260869, 0.5183946488294314,19232,0.738285528, 1.7750698148493886
990, 14.716571906354512, 0.5317730434782608, 0.46822742474916385,1445, 0.22543534389541503, 1.9308594746374572
994, 70.56885618729096,0.046823696,0,12697, 3.925717081265303, 5.066228484375665
309, 63.87995986622073, 0.7023414347826087, 0.35785953177257523,10395, 4.371664404030837, 5.145440715039005
279, 98.32777591973245, 0.8060202608695652, 0.7725752508361203,11892, 4.034941008776629, 4.390049105491692
272,9.699899666, 0.24414791304347827, 0.7591973244147157,19030, 0.48541819377277595, 1.764340098911076
980, 70.90330100334448, 0.1906362608695652, 0.6588628762541806,4952, 0.8219503585245258, 1.7142693541308793
